player,nation,pos,squad,comp,age,born,mp,starts,min,x90s,gls,ast,g_pk,pk,p_katt,crd_y,crd_r,gls_per_90,ast_per_90,gls_ast_per_90,gls_minus_ast_per_90,gls_plus_ast_minus_pk_per_90,xg,npxg,xa,npxg_plus_xa,xg_per_90,xa_per_90,xg_plus_xa_per_90,npxg_per_90,npxg_plus_xa_per_90
Ismael Aaneba,FRA,"FW,DF",Strasbourg,Ligue 1,21,1999,2,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patrick van Aanholt,NED,DF,Crystal Palace,English Premier League,29,1990,22,20,1777,19.7,0,1,0,0,0,2,0,0,0.05,0.05,0,0.05,1.2,1.2,0.8,2,0.06,0.04,0.1,0.06,0.1
Issah Abbas,GHA,"DF,FW",Mainz 05,Bundesliga,21,1998,2,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,32,1987,33,33,2889,32.1,3,0,3,0,0,4,1,0.09,0,0.09,0.09,0.09,1.7,1.7,0.3,1.9,0.05,0.01,0.06,0.05,0.06
Sabit Abdulai,GHA,MF,Getafe,La Liga,21,1999,3,0,60,0.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mehdi Abeid,ALG,MF,Nantes,Ligue 1,27,1992,18,15,1320,14.7,0,0,0,0,0,5,0,0,0,0,0,0,1,1,0.8,1.7,0.07,0.05,0.12,0.07,0.12
Laurent Abergel,FRA,MF,Lorient,Ligue 1,27,1993,38,32,2963,32.9,3,1,3,0,0,5,0,0.09,0.03,0.12,0.09,0.12,1.3,1.3,1.4,2.7,0.04,0.04,0.08,0.04,0.08
Charles Abi,FRA,"FW,MF",Saint-Étienne,Ligue 1,20,2000,24,9,912,10.1,3,2,3,0,0,1,0,0.3,0.2,0.49,0.3,0.49,2.1,2.1,0.3,2.4,0.21,0.03,0.24,0.21,0.24
Matthis Abline,FRA,FW,Rennes,Ligue 1,17,2003,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pape Abou Cisse,SEN,DF,Saint-Étienne,Ligue 1,24,1995,14,14,1260,14,0,0,0,0,0,1,0,0,0,0,0,0,1.2,1.2,0.1,1.2,0.08,0,0.09,0.08,0.09
David Abraham,ARG,DF,Eint Frankfurt,Bundesliga,34,1986,14,14,1222,13.6,1,0,1,0,0,5,1,0.07,0,0.07,0.07,0.07,0.7,0.7,0.5,1.1,0.05,0.03,0.08,0.05,0.08
Tammy Abraham,ENG,FW,Chelsea,English Premier League,22,1997,22,12,1040,11.6,6,1,6,0,0,0,0,0.52,0.09,0.61,0.52,0.61,6.4,6.4,0.9,7.3,0.56,0.07,0.63,0.56,0.63
Amir Abrashi,ALB,"MF,DF",Freiburg,Bundesliga,30,1990,5,0,60,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gennaro Acampora,ITA,"MF,FW",Spezia,Serie A,26,1994,14,2,441,4.9,0,0,0,0,0,2,0,0,0,0,0,0,0.3,0.3,0,0.3,0.06,0,0.06,0.06,0.06
Francesco Acerbi,ITA,DF,Lazio,Serie A,32,1988,32,32,2813,31.3,0,1,0,0,0,9,1,0,0.03,0.03,0,0.03,1,1,1,1.9,0.03,0.03,0.06,0.03,0.06
Ragnar Ache,GER,"FW,DF",Eint Frankfurt,Bundesliga,22,1998,7,0,100,1.1,1,0,1,0,0,1,0,0.9,0,0.9,0.9,0.9,0.3,0.3,0,0.3,0.24,0,0.24,0.24,0.24
Marcos Acuña,ARG,DF,Sevilla,La Liga,28,1991,30,26,2330,25.9,1,2,1,0,0,5,0,0.04,0.08,0.12,0.04,0.12,1.1,1.1,2.8,4,0.04,0.11,0.15,0.04,0.15
Che Adams,SCO,FW,Southampton,English Premier League,24,1996,36,30,2667,29.6,9,5,9,0,0,1,0,0.3,0.17,0.47,0.3,0.47,8.8,8.8,5.8,14.5,0.3,0.19,0.49,0.3,0.49
Tyler Adams,USA,"DF,MF",RB Leipzig,Bundesliga,21,1999,27,21,1850,20.6,1,1,1,0,0,3,0,0.05,0.05,0.1,0.05,0.1,0.9,0.9,0.9,1.8,0.04,0.04,0.09,0.04,0.09
Sargis Adamyan,ARM,"FW,MF",Hoffenheim,Bundesliga,27,1993,18,3,479,5.3,2,3,2,0,0,2,0,0.38,0.56,0.94,0.38,0.94,2.2,2.2,1.8,4,0.41,0.33,0.75,0.41,0.75
Tosin Adarabioyo,ENG,DF,Fulham,English Premier League,22,1997,33,33,2953,32.8,0,0,0,0,0,1,0,0,0,0,0,0,1.1,1.1,0.4,1.5,0.03,0.01,0.04,0.03,0.04
Bobby Adekanye,NED,"FW,MF",Cádiz,La Liga,21,1999,3,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.43,0,0.43,0.43,0.43
Yacine Adli,FRA,MF,Bordeaux,Ligue 1,20,2000,35,25,2418,26.9,2,5,2,0,0,6,0,0.07,0.19,0.26,0.07,0.26,1.4,1.4,4.7,6.1,0.05,0.18,0.23,0.05,0.23
Andrea Adorante,ITA,FW,Parma,Serie A,20,2000,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adrián,ESP,GK,Liverpool,English Premier League,33,1987,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin Agirregabiria,ESP,"DF,MF",Alavés,La Liga,24,1996,26,16,1558,17.3,0,1,0,0,0,1,0,0,0.06,0.06,0,0.06,0.2,0.2,0.9,1.1,0.01,0.05,0.06,0.01,0.06
Lucien Agoume,FRA,MF,Spezia,Serie A,18,2002,12,9,800,8.9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.01,0.01,0,0.01
Felix Agu,GER,"DF,FW",Werder Bremen,Bundesliga,20,1999,15,8,701,7.8,1,0,1,0,0,0,0,0.13,0,0.13,0.13,0.13,0.6,0.6,0.4,1,0.07,0.05,0.13,0.07,0.13
Kevin Agudelo,COL,FW,Spezia,Serie A,21,1998,29,14,1356,15.1,1,2,1,0,0,4,0,0.07,0.13,0.2,0.07,0.2,1.9,1.9,0.7,2.7,0.13,0.05,0.18,0.13,0.18
